post_id,source_orientation,source,post_type,rating,share_count,viral
1035269309904628,mainstream,ABC News Politics,link,mostly true,1,0
1035305953234297,mainstream,ABC News Politics,link,mostly true,34,0
1035322636565962,mainstream,ABC News Politics,link,mostly true,35,0
1035352946562931,mainstream,ABC News Politics,video,mostly true,568,1
1035366579894901,mainstream,ABC News Politics,link,mostly true,23,0
1035411183223774,mainstream,ABC News Politics,video,mostly true,46,0
1035430716555154,mainstream,ABC News Politics,link,mostly true,7,0
1035451683219724,mainstream,ABC News Politics,link,mostly true,7,0
1035453279886231,mainstream,ABC News Politics,video,mostly true,152,1
1035456253219267,mainstream,ABC News Politics,link,mostly true,8,0
1035491416549084,mainstream,ABC News Politics,video,mostly true,37,0
1035503133214579,mainstream,ABC News Politics,link,mostly true,4,0
1035527713212121,mainstream,ABC News Politics,video,mostly true,10,0
1035532526544973,mainstream,ABC News Politics,link,mostly true,10,0
1035558749875684,mainstream,ABC News Politics,video,no factual content,3,0
1035592746538951,mainstream,ABC News Politics,link,mostly true,15,0
1035595553205337,mainstream,ABC News Politics,link,mostly true,56,0
1035619779869581,mainstream,ABC News Politics,video,mostly true,64,0
1035627049868854,mainstream,ABC News Politics,link,mostly true,6,0
1035656723199220,mainstream,ABC News Politics,video,mostly true,289,1
1035672566530969,mainstream,ABC News Politics,link,mostly true,2,0
1035684116529814,mainstream,ABC News Politics,video,no factual content,5,0
1035706656527560,mainstream,ABC News Politics,video,mostly true,30,0
1035726243192268,mainstream,ABC News Politics,link,mostly true,50,0
1035748639856695,mainstream,ABC News Politics,link,mostly true,13,0
1035767019854857,mainstream,ABC News Politics,video,no factual content,25,0
1035778606520365,mainstream,ABC News Politics,link,mostly true,2,0
1035801043184788,mainstream,ABC News Politics,link,mostly true,25,0
1035825603182332,mainstream,ABC News Politics,link,mostly true,15,0
1035859429845616,mainstream,ABC News Politics,link,mostly true,3,0
1035884803176412,mainstream,ABC News Politics,link,mostly true,23,0
1035916476506578,mainstream,ABC News Politics,link,mostly true,5,0
1036151719816387,mainstream,ABC News Politics,link,mixture of true and false,117,1
1036199296478296,mainstream,ABC News Politics,link,mostly true,6,0
1036245469807012,mainstream,ABC News Politics,video,mostly true,24,0
1036251303139762,mainstream,ABC News Politics,link,mostly true,1,0
1036268139804745,mainstream,ABC News Politics,video,mostly true,231,1
1036296946468531,mainstream,ABC News Politics,link,mostly true,31,0
1036370659794493,mainstream,ABC News Politics,video,mostly true,104,1
1036399716458254,mainstream,ABC News Politics,video,mostly true,30,0
1036432846454941,mainstream,ABC News Politics,link,mostly true,15,0
1036447253120167,mainstream,ABC News Politics,link,mostly true,3,0
1036474553117437,mainstream,ABC News Politics,link,mostly true,4,0
1036496423115250,mainstream,ABC News Politics,link,mostly true,339,1
1036552873109605,mainstream,ABC News Politics,link,mostly true,9,0
