"","country","year","demox","income_per_capita","tax_gdp","gini_index","yr_weight","western"
"1","Congo, Dem. Rep.",2006,27.6,605,6.83,42.2,0.5,0
"6","Congo, Rep.",2006,31.9,5000,5.79,47.6,0.5,0
"13","Algeria",2006,31.7,12400,40.8,30.3,0.5,0
"19","Angola",2006,24.1,5500,29.3,46.2,0.5,0
"29","Angola",2016,34,6260,10.3,42.6,1,0
"30","Benin",2006,61.6,1750,14.2,40.2,0.5,0
"38","Botswana",2006,76,12400,26.9,62.9,0.5,0
"48","Botswana",2016,78.7,16000,20.8,60.5,1,0
"49","Burkina Faso",2006,37.2,1310,12.1,41.5,0.5,0
"59","Burkina Faso",2016,47,1640,15.8,35.3,1,0
"72","Cote d'Ivoire",2006,33.8,2660,14.7,42.6,0.5,0
"82","Cote d'Ivoire",2016,38.1,3400,15.2,41.5,1,0
"83","Egypt",2006,39,8540,15.8,31.7,0.5,0
"93","Equatorial Guinea",2006,20.9,32600,9.67,40,0.5,0
"103","Ethiopia",2006,47.2,794,8.26,30.5,0.5,0
"111","Gambia",2006,43.9,1410,7.98,46.3,0.5,0
"118","Kenya",2016,53.3,2890,15.8,41.1,1,0
"128","Lesotho",2016,65.9,2940,34.2,54.2,1,0
"129","Liberia",2006,52.2,982,13.4,36.4,0.5,0
"136","Madagascar",2006,58.2,1420,10.7,40.9,0.5,0
"145","Malawi",2016,55.5,1140,15.5,45.5,1,0
"146","Mali",2006,59.9,1790,13.3,38.2,0.5,0
"156","Mali",2016,57,1970,15.4,33,1,0
"157","Mauritius",2006,80.4,13400,16,35.5,0.5,0
"167","Mauritius",2016,82.8,19600,18.1,35.8,1,0
"168","Morocco",2006,39,5710,21.5,40.7,0.5,0
"180","Mozambique",2016,40.2,1170,20.1,53.7,1,0
"181","Namibia",2006,65.4,8110,29.1,62.5,0.5,0
"191","Namibia",2016,63.1,10400,28.5,59.3,1,0
"192","Nigeria",2006,35.2,4260,2.41,41,0.5,0
"202","Rwanda",2016,30.7,1830,14.8,45.1,1,0
